Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",13.32,0,0.00%,13.1,13.5,12.88,31616292,"11:25 ET"
AAON,"Aaon Inc",54.28,0.61,+1.14%,53.36,54.32,53.27,24832,"11:23 ET"
AAPL,"Apple Inc",365.53,3.75,+1.04%,360.08,365.88,359.55,10702472,"11:25 ET"
AAWW,"Atlas Air Ww",42.21,1.71,+4.22%,40.61,42.4,40.61,92118,"11:24 ET"
AAXN,"Axon Inc",99.96,4.16,+4.34%,95.2,100.65,95.2,385830,"11:23 ET"
ABCB,"Ameris Bancorp",23.68,0.28,+1.20%,23.26,23.98,23.01,46755,"11:25 ET"
ABMD,"Abiomed Inc",240.4,0.18000000000001,+0.07%,240.08,240.91,237.18,59520,"11:24 ET"
ABUS,"Arbutus Biopharma Cp",1.9,-0.02,-1.04%,1.91,1.92,1.86,190083,"11:19 ET"
ACAD,"Acadia Pharmaceutica",48.43,0.27,+0.56%,48.5,48.71,47.77,300212,"11:25 ET"
ACGL,"Arch Capital Grp Ltd",28.74,0.37,+1.30%,28.16,28.81,28.16,217991,"11:25 ET"
ACHC,"Acadia Healthcr Company",24.84,-0.080000000000002,-0.32%,24.75,25.18,24.39,168288,"11:24 ET"
ACIA,"Acacia Communica",67.4,-0.55,-0.81%,67.9,67.93,67.37,222504,"11:25 ET"
ACIW,"Aci Worldwide Inc",27.45,1,+3.78%,26.42,27.87,26.42,116918,"11:23 ET"
ACLS,"Axcelis Tech Inc",28.04,1.15,+4.28%,26.93,28.04,26.93,98960,"11:25 ET"
ACRS,"Aclaris Therapts",1.6312,0.0312,+1.95%,1.58,1.64,1.56,86220,"11:08 ET"
ACRX,"Acelrx Pharmaceutica",1.21,0.0050000000000001,+0.41%,1.2,1.22,1.18,226363,"11:14 ET"
ADBE,"Adobe Systems Inc",430.87,6.67,+1.57%,426.68,431.33,423.31,639388,"11:25 ET"
