Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",88.21,0.91999999999999,+1.05%,87.33,88.27,87.24,203220,"11:20 ET"
AA,"Alcoa Corp",11.27,0.28,+2.55%,10.84,11.3,10.74,1670549,"11:22 ET"
AAL,"American Airlines Gp",13.33,0.0099999999999998,+0.08%,13.1,13.5,12.88,30710199,"11:22 ET"
AAP,"Advance Auto Parts Inc",142.11,-0.63999999999999,-0.45%,142.43,142.66,140.89,114837,"11:20 ET"
AAPL,"Apple Inc",365.76,3.98,+1.10%,360.08,365.88,359.55,10518623,"11:22 ET"
ABBV,"Abbvie Inc",96.97,0.53,+0.55%,95.97,96.98,95.58,1206044,"11:22 ET"
ABC,"Amerisourcebergen Corp",99.11,0.12,+0.12%,98.7,99.34,98.57,153162,"11:21 ET"
ABMD,"Abiomed Inc",240.01,-0.21000000000001,-0.09%,240.08,240.91,237.18,57289,"11:19 ET"
ABT,"Abbott Laboratories",89.76,0.75,+0.84%,88.75,89.78,88.43,745477,"11:21 ET"
ACC,"American Campus Communities Inc",35.35,0.89,+2.58%,34.36,35.51,34.27,242302,"11:21 ET"
ACGL,"Arch Capital Grp Ltd",28.8,0.43,+1.52%,28.16,28.8,28.16,211480,"11:21 ET"
ACHC,"Acadia Healthcr Company",24.98,0.059999999999999,+0.24%,24.75,25.18,24.39,166750,"11:20 ET"
ACM,"Aecom Technology Corp",37.83,0.22,+0.58%,37.47,37.86,37,132854,"11:18 ET"
ACN,"Accenture Plc",214.48,1.76,+0.83%,212.37,214.77,212.13,713295,"11:21 ET"
ADBE,"Adobe Systems Inc",431.31,7.11,+1.68%,426.68,431.33,423.31,627012,"11:22 ET"
ADI,"Analog Devices",121.65,2.65,+2.23%,119.52,121.92,117,516746,"11:21 ET"
ADM,"Archer Daniels Midland",39.88,0.22000000000001,+0.55%,39.74,39.89,39.39,419154,"11:22 ET"
ADP,"Automatic Data Procs",148.59,2.21,+1.51%,147.45,148.59,146.1,210724,"11:22 ET"
ADPT,"Adaptive Biotechnologies Corp",47.69,1.63,+3.54%,46.21,47.69,45.74,185266,"11:21 ET"
ADS,"Alliance Data Systems Corp",46.35,0.64,+1.40%,45.41,46.38,44.4,264592,"11:21 ET"
ADSK,"Autodesk Inc",237.81,5.64,+2.43%,232.95,237.88,231.2,249175,"11:22 ET"
ADT,"ADT Inc",7.84,0.02,+0.26%,7.84,7.94,7.8,464329,"11:20 ET"
AEE,"Ameren Corp",70.52,0.78999999999999,+1.13%,69.7,70.54,69.6,161209,"11:22 ET"
AEP,"American Electric Power Company",80.66,1.09,+1.37%,79.7,80.66,79.47,560216,"11:21 ET"
