Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aaron's Inc",45.87,-0.63,-1.35%,46.6,45.06,93730,"11:20 ET"
AAXN,"Axon Inc",100.15,4.35,+4.54%,100.65,95.2,376164,"11:20 ET"
ACC,"American Campus Communities Inc",35.35,0.89,+2.58%,35.51,34.27,240626,"11:21 ET"
ACHC,"Acadia Healthcr Company",24.98,0.059999999999999,+0.24%,25.18,24.39,164225,"11:20 ET"
ACIW,"Aci Worldwide Inc",27.45,1,+3.78%,27.87,26.42,112331,"11:21 ET"
ACM,"Aecom Technology Corp",37.83,0.22,+0.58%,37.86,37,127818,"11:18 ET"
ADNT,"Adient Plc",16.12,0.22,+1.38%,16.2,15.55,177831,"11:20 ET"
AEO,"American Eagle Outfitters",10.97,-0.09,-0.81%,11.09,10.61,2826949,"11:20 ET"
AFG,"American Financial Group",62.13,0.79,+1.29%,62.6,61.11,192431,"11:20 ET"
AGCO,"Agco Corp",54.78,0.28,+0.51%,54.85,53.64,56178,"11:20 ET"
ALE,"Allete Inc",54.95,0.37,+0.68%,55,54.07,39988,"11:19 ET"
AM,"Antero Midstream Corp",4.99,-0.02,-0.40%,5,4.77,1165311,"11:21 ET"
AMCX,"Amc Networks Cl A",23.46,0.039999999999999,+0.17%,23.78,23.02,110737,"11:21 ET"
AMED,"Amedisys Inc",197.36,-0.10999999999999,-0.06%,201.51,196.15,119875,"11:17 ET"
AMG,"Affiliated Managers Group",74.5,2.15,+2.97%,74.88,71.93,61360,"11:20 ET"
AN,"Autonation Inc",37.85,0.18,+0.48%,38.14,37.14,50820,"11:18 ET"
ARW,"Arrow Electronics",68.06,0.64,+0.95%,68.17,67.06,42711,"11:11 ET"
ARWR,"Arrowhead Pharma",42.42,-0.18,-0.42%,42.93,41.3,232552,"11:21 ET"
ASB,"Associated Banc-Corp",13.6,0.17,+1.27%,13.61,13.19,303706,"11:20 ET"
ASGN,"On Assignment",66.71,1.07,+1.63%,66.79,65.16,41882,"11:20 ET"
ASH,"Ashland Global Holdings Inc",68.8,0.34,+0.50%,68.87,67.72,32257,"11:14 ET"
ATGE,"Adtalem Global Education Inc",31.58,0.16,+0.51%,31.65,31.17,49451,"11:19 ET"
ATI,"Allegheny Technologies Inc",10.3,0.020000000000001,+0.19%,10.31,9.82,379023,"11:20 ET"
ATR,Aptargroup,111.19,1.94,+1.78%,111.23,109.13,31110,"11:19 ET"
AVNS,"Avanos Medical Inc",29.3,0.19,+0.65%,29.32,28.68,19191,"11:16 ET"
AVT,"Avnet Inc",27.83,0.76,+2.81%,27.88,26.76,132162,"11:18 ET"
AYI,"Acuity Brands Inc",96.64,7.31,+8.18%,104,93.1,516442,"11:20 ET"
BBBY,"Bed Bath & Beyond",10.59,-0.23,-2.13%,11.35,10.44,3547700,"11:21 ET"
BC,"Brunswick Corp",64.23,0.83000000000001,+1.31%,64.32,62.68,87627,"11:19 ET"
BCO,"Brink's Company",46,0.18,+0.39%,46.12,44.64,48023,"11:19 ET"
BDC,"Belden Inc",32.36,0.43,+1.35%,32.47,31.43,52145,"11:18 ET"
BHF,"Brighthouse Financial Inc",27.54,0.57,+2.11%,27.65,26.66,184640,"11:20 ET"
BIO,"Bio-Rad Laboratories",441.49,9.15,+2.12%,441.49,433.16,19105,"11:18 ET"
BJ,"Bj's Wholesale Club Holdings Inc",37.1,-0.77,-2.03%,38.33,37.05,882819,"11:21 ET"
BKH,"Black Hills Corp",56.84,1.04,+1.86%,56.86,55.61,100526,"11:17 ET"
BLKB,"Blackbaud Inc",57.66,0.54,+0.95%,58.47,56.58,49051,"11:18 ET"
BOH,"Bank of Hawaii Corp",61.89,1.42,+2.35%,61.89,59.88,32965,"11:20 ET"
BRO,"Brown & Brown",40.49,0.52,+1.30%,40.53,39.93,175675,"11:20 ET"
BRX,"Brixmor Property Group Inc",12.99,0.040000000000001,+0.31%,13.11,12.67,920575,"11:21 ET"
BXS,"Bancorpsouth Inc",22.82,0.78,+3.54%,22.82,21.8,92322,"11:19 ET"
BYD,"Boyd Gaming Corp",20.76,0.21,+1.02%,20.95,20.27,452278,"11:20 ET"
