Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","4.94","198.44","2,287,567.00","453,944,795.48","453,944,795.48","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","4.92","361.78","1,249,401.00","452,008,293.78","452,008,293.78","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.78","2,680.38","129,530.00","347,189,621.40","347,189,621.40","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.76","220.64","733,535.00","161,847,162.40","161,847,162.40","Communication","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.39","1,397.17","91,701.00","128,121,886.17","128,121,886.17","Communication","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.37","1,394.97","90,517.00","126,268,499.49","126,268,499.49","Communication","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.22","139.04","805,523.00","111,999,917.92","111,999,917.92","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.15","177.19","595,564.00","105,527,985.16","105,527,985.16","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.07","191.38","515,776.00","98,709,210.88","98,709,210.88","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.95","117.66","744,432.00","87,589,869.12","87,589,869.12","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","0.94","93.00","925,286.00","86,051,598.00","86,051,598.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.91","289.76","288,375.00","83,559,540.00","83,559,540.00","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.88","246.12","328,149.00","80,764,031.88","80,764,031.88","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.86","292.93","269,494.00","78,942,877.42","78,942,877.42","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.82","58.27","1,294,843.00","75,450,501.61","75,450,501.61","Information Technology","2463247","US4581401001","NASDAQ"
