iShares Russell 3000 ETF
Fund Holdings as of,"Jun 30, 2020"
Inception Date,"May 22, 2000"
Shares Outstanding,"51,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","4.99","203.51","2,283,151.00","464,644,060.01","464,644,060.01","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","4.88","364.80","1,246,989.00","454,901,587.20","454,901,587.20","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","3.83","2,758.82","129,280.00","356,660,249.60","356,660,249.60","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.78","227.07","732,119.00","166,242,261.33","166,242,261.33","Communication","B7TL820","US30303M1027","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.39","1,418.05","91,523.00","129,784,190.15","129,784,190.15","Communication","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.37","1,413.61","90,343.00","127,709,768.23","127,709,768.23","Communication","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.21","140.63","803,967.00","113,061,879.21","113,061,879.21","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.14","178.51","594,414.00","106,108,843.14","106,108,843.14","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.07","193.17","514,780.00","99,440,052.60","99,440,052.60","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.95","119.57","742,994.00","88,839,792.58","88,839,792.58","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","0.93","94.06","923,500.00","86,864,410.00","86,864,410.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.91","294.95","287,819.00","84,892,214.05","84,892,214.05","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.88","250.51","327,515.00","82,045,782.65","82,045,782.65","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.85","295.70","268,974.00","79,535,611.80","79,535,611.80","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.83","59.83","1,292,343.00","77,320,881.69","77,320,881.69","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.75","55.13","1,263,316.00","69,646,611.08","69,646,611.08","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.73","379.91","179,985.00","68,378,101.35","68,378,101.35","Information Technology","2379504","US67066G1040","NASDAQ"
"T","AT&T INC","Equity","0.71","30.23","2,174,113.00","65,723,435.99","65,723,435.99","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.69","435.31","146,665.00","63,844,741.15","63,844,741.15","Information Technology","2008154","US00724F1012","NASDAQ"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.67","174.23","358,053.00","62,383,574.19","62,383,574.19","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"DIS","WALT DISNEY","Equity","0.66","111.51","551,021.00","61,444,351.71","61,444,351.71","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.65","46.64","1,294,663.00","60,383,082.32","60,383,082.32","Information Technology","2198163","US17275R1023","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.64","77.33","770,232.00","59,562,040.56","59,562,040.56","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.63","455.04","129,626.00","58,985,015.04","58,985,015.04","Communication","2857817","US64110L1061","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","0.62","44.72","1,290,363.00","57,705,033.36","57,705,033.36","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","0.60","23.75","2,358,249.00","56,008,413.75","56,008,413.75","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.60","132.26","423,175.00","55,969,125.50","55,969,125.50","Consumer Staples","2681511","US7134481081","NASDAQ"
"PFE","PFIZER INC","Equity","0.59","32.70","1,695,458.00","55,441,476.60","55,441,476.60","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.58","38.98","1,381,570.00","53,853,598.60","53,853,598.60","Communication","2044545","US20030N1019","NASDAQ"
"ABBV","ABBVIE INC","Equity","0.57","98.18","537,105.00","52,732,968.90","52,732,968.90","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.57","44.68","1,179,821.00","52,714,402.28","52,714,402.28","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.55","119.78","424,858.00","50,889,491.24","50,889,491.24","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.55","89.23","569,977.00","50,859,047.71","50,859,047.71","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.53","187.33","264,049.00","49,464,299.17","49,464,299.17","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"TSLA","TESLA INC","Equity","0.52","1,079.81","45,085.00","48,683,233.85","48,683,233.85","Consumer Discretionary","B616C79","US88160R1014","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.52","91.43","526,990.00","48,182,695.70","48,182,695.70","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.47","362.34","120,411.00","43,629,721.74","43,629,721.74","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.45","235.86","179,461.00","42,327,671.46","42,327,671.46","Health Care","2023607","US0311621009","NASDAQ"
"LLY","ELI LILLY","Equity","0.45","164.18","256,809.00","42,162,901.62","42,162,901.62","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.45","184.47","226,967.00","41,868,602.49","41,868,602.49","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
